position of cavity [mm],- Delta resonant frequency [kHz],- Delta reflection coefficient [dB]
41.1,0,0
42.1,6.25,0.005
43.1,3.125,0.007
44.1,9.375,0.003
45.1,9.375,0.002
46.1,6.25,0.004
47.1,3.125,0.002
48.1,3.125,0.002
49.1,6.25,0.003
50.1,3.125,0.002
51.1,15.625,0.013
52.1,25,0.021
53.1,28.125,0.035
54.1,40.625,0.062
55.1,50,0.103
56.1,65.625,0.146
57.1,71.875,0.198
58.1,84.375,0.258
59.1,93.75,0.329
60.1,96.875,0.390
61.1,106.2,0.428
62.1,109.37,0.461
63.1,106.2,0.484
64.1,112,0.495
65.1,112,0.488
66.1,106.2,0.481
67.1,112,0.446
68.1,103.12,0.412
69.1,96.875,0.365
70.1,93.75,0.309
71.1,81.25,0.258
72.1,65.625,0.188
73.1,53.125,0.130
74.1,50,0.085
75.1,34.375,0.055
76.1,21.875,0.026
77.1,18.75,0.006
78.1,6.25,0.001
79.1,3.125,0
80.1,9.375,0.001
81.1,6.25,0.003
82.1,12.5,0.006