LLD +- 0.01,Count (N),Time (s) +- 0.03,ULD (Delta E) (100%) (0.)
0.02,420580,10,10
0.10,279704,10,10
0.20,45643,10,10
0.30,4853,10,10
0.4,2982,10,10
0.5,1981,10,10
0.6,1522,10,10
0.7,1412,10,10
0.8,2227,10,10
0.9,3368,10,10
1,2386,10,10
1.1,952,10,10
1.2,365,10,10
1.3,245,10,10
1.4,179,10,10
1.5,217,10,10
1.6,186,10,10
1.7,171,10,10
1.8,201,10,10
1.9,322,10,10
2,705,10,10
2.1,1169,10,10
2.2,1275,10,10
2.3,745,10,10
2.4,319,10,10
2.5,164,10,10
2.6,134,10,10
2.7,148,10,10
2.8,145,10,10
2.9,233,10,10
3,284,10,10
3.1,282,10,10
3.2,249,10,10
3.3,196,10,10
3.4,180,10,10
3.5,146,10,10
3.6,147,10,10
3.7,141,10,10
3.8,124,10,10
3.9,108,10,10
4,129,10,10