Velocity (mm/s),Motor speed (?),Count (N) (LR),Time (ms) (LR),Number of turns ,Count/s
-7.44176196526895,2.5,7271,2361,7,3.07962727657772
-7.31067961165049,2.45,6396,2060,6,3.10485436893204
-7.14760322733745,2.4,6483,2107,6,3.07688656858092
-7.0167731629393,2.35,7554,2504,7,3.0167731629393
-6.8956043956044,2.31,5810,2184,6,2.66025641025641
-6.86730506155951,2.3,6701,2193,6,3.05563155494756
-6.854802002731,2.3,5780,2197,6,2.63086026399636
-6.83923705722071,2.29,5641,2202,6,2.56176203451408
-6.82065217391304,2.28,5678,2208,6,2.57155797101449
-6.75942549371634,2.26,5600,2228,6,2.51346499102334
-6.72521583804704,2.25,8093,3359,9,2.40934802024412
-6.71122994652406,2.24,6855,2618,7,2.61841100076394
-6.70866743031691,2.24,8009,2619,7,3.05803741886216
-6.70525378450579,2.24,6806,2246,6,3.03027604630454
-6.64314071460079,2.22,5370,2267,6,2.36876929863255
-6.53362255965293,2.18,6015,2305,6,2.60954446854664
-6.47185217017619,2.16,7020,2327,6,3.01675977653631
-6.40033999150021,2.14,7184,2353,6,3.0531236719082
-6.30426982418371,2.1,8579,2787,7,3.07822030857553
-6.1771944216571,2.06,7633,2438,6,3.13084495488105
-6.13192182410423,2.04,6325,2456,6,2.57532573289902
-6.12444082960553,2.04,7315,2459,6,2.97478649857666
-6.11946363266965,2.14,6340,2461,6,2.5761885412434
-6.01437699680511,2,7479,2504,6,2.98682108626198
-5.89663273296789,1.96,7572,2554,6,2.96476115896633
-5.73059360730594,1.9,8849,3066,7,2.88617090671885
-5.61311964219158,1.86,7566,2683,6,2.81997763697354
-5.49434512951478,1.82,7489,2741,6,2.73221452024808
-5.43486106098881,1.8,7381,2771,6,2.66365932876218
-5.38241601143674,1.78,7415,2798,6,2.65010721944246
-5.31216931216931,1.76,7443,2835,6,2.62539682539683
-5.15098211668133,1.7,9440,3411,7,2.76751685722662
-4.96210873146623,1.64,8786,3035,6,2.89489291598023
-4.8486799742434,1.6,9166,3106,6,2.95106245975531
-4.57862094126231,1.5,8334,2741,5,3.04049616928128
-4.25856803529013,1.4,9035,2947,5,3.06582965727859
-4.20670391061453,1.38,10952,3580,6,3.05921787709497
-3.9652448657188,1.3,9594,3165,5,3.03127962085308
-3.92801251956182,1.28,11704,3834,6,3.05268648930621
-3.86748844375963,1.26,11822,3894,6,3.03595274781715
-3.68683901292597,1.2,10004,3404,5,2.93889541715629
-3.6229792147806,1.18,10256,3464,5,2.96073903002309
-3.57041251778094,1.16,10471,3515,5,2.97894736842105
-3.51147174034695,1.14,10635,3574,5,2.97565752658086
-3.45825296224855,1.12,10420,3629,5,2.87131441168366
-3.38731443994602,1.1,10422,3705,5,2.81295546558704
-3.33244822092406,1.08,10420,3766,5,2.76686139139671
-3.27847439916405,1.06,10463,3828,5,2.73328108672936
-3.21794871794872,1.04,10344,3900,5,2.65230769230769
-3.16320100819156,1.02,8372,3174,4,2.63768115942029
-3.12266733018164,1,10441,4019,5,2.59790992784275
-3.05817849527871,0.98,8925,3283,4,2.71855010660981
-2.99880525686977,0.96,9299,3348,4,2.77747909199522
-2.93429974281038,0.94,12364,4277,5,2.89081131634323
-1.62902388369678,0.5,23197,7704,5,3.01103322949117
-1.33003620948512,0.4,33549,11323,6,2.96290735670759
-1.053559435863,0.3,34116,11912,5,2.86400268636669
-1.04496253122398,0.3,6987,2402,1,2.90882597835137
-0.746668253212756,0.2,49236,16808,5,2.92931937172775
0,0,3030,999,0,3.03303303303303