Velocity (mm/s),Motor speed (?),Count (N) (RL),Time (ms) (RL),Number of turns ,Count/s
0,0,3030,999,0,3.03303303303303
0.375400077772128,0.2,101223,33431,5,3.02781849181897
0.682770251890539,0.3,51315,18381,5,2.79174147217235
0.674368619022031,0.3,10578,3722,1,2.8420204191295
0.959174574867843,0.4,46130,15701,6,2.9380294248774
1.25827150591538,0.5,30264,9974,5,3.03428915179467
2.56488861639076,0.94,14484,4893,5,2.96014714898835
2.62964903090623,0.96,11223,3818,4,2.93949711891042
2.68952585052237,0.98,10741,3733,4,2.87731047414948
2.7564243356029,1,13016,4553,5,2.85877443443883
2.79276773296245,1.02,10000,3595,4,2.78164116828929
2.84580498866213,1.04,11958,4410,5,2.71156462585034
2.90913305516922,1.06,11403,4314,5,2.6432545201669
2.96340023612751,1.08,11156,4235,5,2.63423848878394
3.01827801827802,1.1,11168,4158,5,2.68590668590669
3.09037182959862,1.12,11355,4061,5,2.79610933267668
3.14142678347935,1.14,11058,3995,5,2.76795994993742
3.19989801121877,1.16,11258,3922,5,2.87047424783274
3.25551232166018,1.18,11316,3855,5,2.93540856031128
3.31659619450317,1.2,10942,3784,5,2.89164904862579
3.49663338750871,1.26,13076,4307,6,3.03598792663107
3.55608028335301,1.28,12852,4235,6,3.03471074380165
3.59701920321009,1.3,10279,3489,5,2.94611636572084
3.84085692425402,1.38,11906,3921,6,3.03647028819179
3.89026658400496,1.4,9773,3226,5,3.02944823310601
4.20576407506702,1.5,9175,2984,5,3.07473190348525
4.47814451382694,1.6,10048,3363,6,2.98780850431163
4.59146341463415,1.64,9760,3280,6,2.97560975609756
4.78225367446924,1.7,10579,3674,7,2.87942297223734
4.94418910045962,1.76,8596,3046,6,2.8220617202889
5.0133155792277,1.78,8037,3004,6,2.6754327563249
5.06218487394958,1.8,7927,2975,6,2.66453781512605
5.12593601089176,1.82,7618,2938,6,2.5929203539823
5.24008350730689,1.86,7780,2874,6,2.70702853166319
5.35997559487492,1.9,9231,3278,7,2.81604636973764
5.52660550458716,1.96,7916,2725,6,2.90495412844037
5.64044943820225,2,7779,2670,6,2.91348314606742
5.75688073394495,2.04,6772,2616,6,2.58868501529052
5.7546809323653,2.04,7699,2617,6,2.94191822697746
5.81018518518519,2.06,7957,2592,6,3.06983024691358
5.93180283592167,2.1,9017,2962,7,3.04422687373396
5.74809160305344,2.14,6643,2620,6,2.53549618320611
6.03123748498198,2.14,7538,2497,6,3.01882258710453
6.09716599190283,2.16,7432,2470,6,3.00890688259109
6.1620294599018,2.18,6563,2444,6,2.68535188216039
6.275,2.22,5826,2400,6,2.4275
6.32241813602015,2.24,6916,2779,7,2.48866498740554
6.33838383838384,2.24,8448,2772,7,3.04761904761905
6.33305298570227,2.24,7416,2378,6,3.11858704793944
6.35264341957255,2.25,8315,3556,9,2.33830146231721
6.38135593220339,2.26,5912,2360,6,2.50508474576271
6.44415917843389,2.28,5970,2337,6,2.55455712451861
6.46629454701589,2.29,6060,2329,6,2.60197509660799
6.49417852522639,2.3,7107,2319,6,3.0646830530401
6.4802065404475,2.3,6127,2324,6,2.63640275387263
6.53362255965293,2.31,6306,2305,6,2.73579175704989
6.64272211720227,2.35,8109,2645,7,3.06578449905482
6.77158273381295,2.4,6902,2224,6,3.10341726618705
6.92413793103448,2.45,6780,2175,6,3.11724137931034
7.06757843925986,2.5,7777,2486,7,3.1283185840708