Upper voltage [V],coincidence 1,coincidence 2,coincidence 3,coincidence 4,coincidence avg,current [mcroA]
1700,108,111,111,114,111,1209
1750,175,151,181,185,173,1259
1800,205,235,238,199,219.25,1318
1850,260,231,236,243,242.5,1373
1900,253,261,259,254,256.75,1426
1950,282,312,281,298,293.25,1481
2000,303,296,294,289,295.5,1533
2050,294,321,284,301,300,1590
2100,280,320,282,325,301.75,1645
2150,305,342,314,334,323.75,1699
2200,309,331,310,311,315.25,1754
2250,341,286,319,316,315.5,1809
2300,292,291,309,291,295.75,1864